"Name";"Instance count";"Size (bytes)"
"com.siigna.util.geom.Vector2D";50120;1603840
"int[ ]";32826;13821504
"char[ ]";15768;2209800
"java.lang.String";14454;462528
"scala.collection.immutable.HashMap[ ]";7967;416360
"scala.collection.immutable.HashMap$HashTrieMap";7925;190200
"scala.collection.immutable.HashMap$HashMap1";6414;205248
"short[ ]";6047;379960
"com.siigna.util.geom.SimpleRectangle2D";5892;377088
"byte[ ]";4712;8889448
"java.lang.Object";4669;74704
"scala.Tuple2";4213;101112
"java.util.concurrent.ConcurrentHashMap$HashEntry";4035;129120
"java.util.HashMap$Entry";4004;128128
"scala.collection.immutable.$colon$colon";3837;92088
"java.lang.Class";3684;3542176
"java.util.HashMap$Entry[ ]";3314;277760
"java.lang.Object[ ]";2794;203336
"java.util.HashMap";2551;122448
"java.util.HashMap$Values";2477;39632
"java.util.LinkedHashMap$Entry";2277;91080
"scala.Some";1950;31200
"com.jprofiler.agent.util.a.i";1920;30720
"java.awt.geom.Rectangle2D$Float";1876;60032
"java.awt.geom.Point2D$Float";1534;36816
"java.awt.geom.Point2D$Double";1328;42496
"com.siigna.util.geom.Segment2D";1142;36544
"com.siigna.app.model.shape.LineShape";1142;45680
"java.util.Hashtable$Entry";1044;33408
"java.awt.geom.AffineTransform";1022;73584
"com.siigna.util.collection.Attributes";950;22800
"com.siigna.util.collection.Attributes$$anonfun$$init$$1";950;15200
"com.jprofiler.agent.util.a.d";894;28608
"scala.collection.generic.Growable$$anonfun$$plus$plus$eq$1";894;14304
"java.lang.Integer";844;13504
"java.lang.StringBuilder";807;19368
"java.util.LinkedHashMap";758;42448
"java.lang.Double";728;17472
"scala.collection.mutable.StringBuilder";690;11040
"java.util.NoSuchElementException";689;22048
"sun.font.DelegatingShape";684;10944
"scala.collection.mutable.WrappedArray$ofRef";680;16320
"java.lang.String[ ]";679;22552
"java.lang.ref.SoftReference";604;24160
"float[ ]";551;26152
"java.util.HashMap$EntrySet";544;8704
"scala.collection.mutable.ListBuffer";541;17312
"com.siigna.util.geom.TransformationMatrix";495;7920
"java.lang.reflect.Method";484;38720
"scala.collection.mutable.MapBuilder";455;10920
"java.lang.reflect.Field";427;30744
"com.siigna.util.collection.AttributesLike$$anonfun$double$1";426;6816
"java.util.concurrent.locks.ReentrantLock$NonfairSync";424;13568
"java.util.concurrent.ConcurrentHashMap$HashEntry[ ]";421;46264
"java.lang.Class[ ]";412;7464
"java.lang.Short";405;6480
"sun.font.FontStrikeDesc";387;15480
"com.siigna.util.geom.Vector2D[ ]";383;9576
"sun.reflect.annotation.AnnotationInvocationHandler";377;9048
"java.util.concurrent.ConcurrentHashMap$Segment";371;14840
"$Proxy3";369;5904
"java.lang.ref.WeakReference";367;11744
"sun.font.FontLineMetrics";354;8496
"java.lang.ref.Finalizer";340;13600
"sun.font.TextLineComponent[ ]";336;11648
"com.siigna.util.collection.AttributesLike$$anonfun$boolean$1";335;5360
"java.util.Vector";305;9760
"java.util.Hashtable$Entry[ ]";278;20888
"java.lang.Long";274;6576
"java.util.Hashtable";269;12912
"java.util.WeakHashMap$Entry";264;10560
"java.lang.Float";246;3936
"scala.collection.immutable.Map$Map1";235;5640
"scala.collection.TraversableOnce$$anonfun$toMap$1";226;5424
"java.util.ArrayList";222;5328
"com.jprofiler.agent.triggers.nanoxml.XMLElement";221;10608
"scala.collection.mutable.DefaultEntry";221;5304
"scala.concurrent.forkjoin.ForkJoinPool$WaitQueueNode";207;6624
"sun.java2d.loops.Blit";199;9552
"java.lang.reflect.Constructor";198;14256
"java.util.zip.ZStreamRef";196;4704
"java.util.zip.Inflater";196;6272
"com.siigna.util.collection.AttributesLike$$anonfun$color$1";190;3040
"javax.management.ImmutableDescriptor";189;4536
"scala.collection.immutable.Map$Map2";178;5696
"com.siigna.util.collection.AttributesLike$$anonfun$transformationMatrix$1";174;2784
"scala.collection.mutable.HashTable$$anon$1";174;4176
"com.siigna.app.view.Graphics$$anonfun$2";174;2784
"com.siigna.app.view.Graphics$$anonfun$3";174;2784
"scala.Tuple2[ ]";173;5520
"scala.collection.mutable.HashMap$$anonfun$foreach$1";172;2752
"scala.collection.immutable.Map$Map3";172;6880
"scala.collection.immutable.Map$Map4";172;8256
"scala.collection.generic.GenMapFactory$MapCanBuildFrom";171;2736
"scala.collection.immutable.HashMap";171;2736
"java.awt.BasicStroke";165;6600
"sun.java2d.loops.ScaledBlit";163;7824
"scala.collection.immutable.Iterable[ ][ ]";156;6240
"com.siigna.app.view.Graphics$$anonfun$draw$4";154;2464
"com.siigna.app.view.Graphics$$anonfun$draw$3";154;2464
"com.siigna.util.geom.TransformationMatrix$$anonfun$translate$1";153;2448
"com.siigna.util.geom.TransformationMatrix$$anonfun$scale$1";153;3672
"com.siigna.util.geom.Circle2D";148;5920
"com.siigna.util.event.ModifierKeys";142;2272
"java.io.ObjectStreamField";140;5600
"scala.Symbol";135;2160
"com.sun.jmx.mbeanserver.MXBeanMapping[ ]";135;2536
"java.util.TreeMap$Entry";134;5360
"java.awt.Font";133;9576
"java.awt.font.FontRenderContext";132;4224
"sun.font.AttributeValues";131;12576
"com.siigna.app.model.shape.ArcShape";131;6288
"com.siigna.util.geom.Arc2D";131;14672
"sun.font.CoreMetrics";130;8320
"com.sun.jmx.mbeanserver.ConvertingMethod";128;4096
"java.lang.Character";128;2048
"sun.font.GlyphLayout$SDCache$SDKey";128;3072
"scala.collection.mutable.ArrayBuffer";127;3048
"scala.collection.TraversableLike$$anonfun$map$1";116;2784
"scala.collection.immutable.HashMap$HashTrieMap$$anon$1";114;4560
"sun.font.StandardGlyphVector$GlyphStrike";114;3648
"sun.font.StandardGlyphVector";114;9120
"sun.font.ExtendedTextSourceLabel";112;6272
