Name;Instance count;Size (bytes)
int[ ];26793;10111152
char[ ];14070;2059720
java.lang.String;13365;427680
short[ ];5327;334096
byte[ ];4061;7900248
scala.Tuple2;3801;91224
scala.collection.immutable.HashMap[ ];3426;161824
scala.collection.immutable.HashMap$HashTrieMap;3426;82224
java.lang.Class;3379;3139720
com.siigna.util.geom.Vector2D;3360;107520
java.util.HashMap$Entry[ ];3287;275536
java.lang.Object;3285;52560
scala.collection.immutable.HashMap$HashMap1;3279;104928
java.util.concurrent.ConcurrentHashMap$HashEntry;3117;99744
java.util.HashMap$Entry;2813;90016
java.util.HashMap;2525;121200
java.util.HashMap$Values;2477;39632
java.util.LinkedHashMap$Entry;2273;90920
scala.collection.immutable.$colon$colon;2112;50688
java.awt.geom.Rectangle2D$Float;2071;66272
java.lang.Object[ ];1956;132168
com.jprofiler.agent.util.a.i;1920;30720
java.awt.geom.Point2D$Float;1794;43056
java.awt.geom.AffineTransform;1118;80496
java.util.Hashtable$Entry;1031;32992
scala.Some;990;15840
com.siigna.util.collection.Attributes;949;22776
com.siigna.util.collection.Attributes$$anonfun$$init$$1;949;15184
com.jprofiler.agent.util.a.d;894;28608
com.siigna.util.geom.Segment2D;877;28064
com.siigna.app.model.shape.LineShape;877;35080
java.lang.Integer;824;13184
sun.font.DelegatingShape;798;12768
java.util.LinkedHashMap;758;42448
java.lang.String[ ];656;22000
java.lang.Double;639;15336
java.lang.ref.SoftReference;624;24960
float[ ];595;27496
scala.collection.generic.Growable$$anonfun$$plus$plus$eq$1;571;9136
java.lang.StringBuilder;549;13176
java.util.HashMap$EntrySet;544;8704
com.siigna.util.geom.TransformationMatrix;536;8576
java.awt.geom.Point2D$Double;492;15744
java.lang.reflect.Method;484;38720
scala.collection.mutable.WrappedArray$ofRef;430;10320
sun.font.FontStrikeDesc;425;17000
scala.collection.mutable.StringBuilder;413;6608
java.util.NoSuchElementException;412;13184
java.lang.Short;405;6480
sun.font.FontLineMetrics;404;9696
sun.font.TextLineComponent[ ];393;13624
scala.collection.mutable.MapBuilder;381;9144
java.lang.Class[ ];381;6968
sun.reflect.annotation.AnnotationInvocationHandler;377;9048
$Proxy3;369;5904
java.util.concurrent.locks.ReentrantLock$NonfairSync;353;11296
com.siigna.util.collection.AttributesLike$$anonfun$double$1;342;5472
java.util.concurrent.ConcurrentHashMap$HashEntry[ ];301;25008
java.util.concurrent.ConcurrentHashMap$Segment;300;12000
java.lang.Float;284;4544
java.util.Vector;279;8928
java.lang.Long;274;6576
java.lang.ref.WeakReference;274;8768
java.util.Hashtable$Entry[ ];265;20056
java.util.Hashtable;256;12288
scala.collection.mutable.ListBuffer;256;8192
