"Name";"Instance count";"Size (bytes)"
"java.util.HashMap$Entry";29733;951456
"char[ ]";28307;2886600
"scala.Tuple2";26756;642144
"scala.collection.immutable.HashMap[ ]";23856;1126912
"scala.collection.immutable.HashMap$HashTrieMap";23856;572544
"int[ ]";23496;9103560
"scala.collection.immutable.HashMap$HashMap1";22720;727040
"java.lang.String";17372;555904
"com.siigna.util.geom.Vector2D";13916;445312
"java.lang.Object[ ]";13277;1132472
"scala.Some";12615;201840
"short[ ]";11522;798760
"scala.collection.immutable.$colon$colon";8770;210480
"java.awt.geom.Point2D$Double";8180;261760
"byte[ ]";7058;11489352
"scala.collection.generic.Growable$$anonfun$$plus$plus$eq$1";6188;99008
"java.lang.StringBuilder";5743;137832
"scala.collection.mutable.StringBuilder";5738;91808
"java.util.NoSuchElementException";5738;183616
"scala.collection.mutable.WrappedArray$ofRef";4656;111744
"scala.collection.mutable.ListBuffer";3971;127072
"java.lang.Double";3873;92952
"com.siigna.util.geom.Vector2D[ ]";3238;78208
"scala.collection.mutable.MapBuilder";3236;77664
"com.siigna.util.geom.Segment2D";3188;102016
"com.siigna.app.model.shape.LineShape";3188;127520
"java.lang.Object";3108;49728
"java.lang.Class";3102;2895296
"java.util.HashMap$Entry[ ]";3046;253568
"com.siigna.util.collection.AttributesLike$$anonfun$boolean$1";2727;43632
"java.util.concurrent.ConcurrentHashMap$HashEntry";2645;84640
"com.siigna.util.collection.AttributesLike$$anonfun$double$1";2387;38192
"java.util.HashMap";2320;111360
"java.util.HashMap$Values";2213;35408
"java.util.LinkedHashMap$Entry";2199;87960
"scala.collection.TraversableOnce$$anonfun$toMap$1";2100;50400
"com.jprofiler.agent.util.a.i";1920;30720
"scala.collection.immutable.Map$Map1";1762;42288
"com.siigna.util.collection.AttributesLike$$anonfun$color$1";1760;28160
"java.awt.geom.AffineTransform";1720;123840
"com.siigna.util.collection.Attributes";1611;38664
"com.siigna.util.collection.Attributes$$anonfun$$init$$1";1611;25776
"com.siigna.util.geom.TransformationMatrix";1594;25504
"com.siigna.util.collection.AttributesLike$$anonfun$transformationMatrix$1";1534;24544
"com.siigna.app.view.Graphics$$anonfun$2";1534;24544
"com.siigna.app.view.Graphics$$anonfun$3";1534;24544
"java.awt.Rectangle";1473;47136
