"Name";"Instance count";"Size (bytes)"
"com.siigna.util.geom.Vector2D";168584;5394688
"java.lang.Object[ ]";48553;2731880
"int[ ]";36300;20245656
"scala.collection.immutable.$colon$colon";27967;671208
"scala.collection.immutable.HashMap[ ]";23346;1321216
"char[ ]";23340;2669256
"scala.collection.immutable.HashMap$HashTrieMap";23303;559272
"scala.collection.mutable.WrappedArray$ofRef";22766;546384
"scala.collection.TraversableLike$$anonfun$map$1";21585;518040
"scala.collection.generic.GenTraversableFactory$GenericCanBuildFrom";21563;345008
"scala.collection.mutable.ArrayBuffer";21046;505104
"com.siigna.util.geom.SimpleRectangle2D";20221;1294144
"java.lang.String";18426;589632
"scala.collection.immutable.HashMap$HashMap1";16449;526368
"scala.collection.generic.Growable$$anonfun$$plus$plus$eq$1";12488;199808
"scala.collection.mutable.ListBuffer";12429;397728
"com.siigna.util.geom.Segment2D";12360;395520
"com.siigna.app.model.shape.LineShape";12356;494240
"com.siigna.util.collection.Attributes$$anonfun$$init$$1";11720;187520
"com.siigna.util.collection.Attributes";11718;281232
"com.siigna.util.geom.Vector2D[ ]";11616;279224
"scala.collection.mutable.MapBuilder";11494;275856
"scala.collection.TraversableOnce$$anonfun$toMap$1";11089;266136
"scala.runtime.RichInt";10793;259032
"com.siigna.app.model.shape.BasicShape[ ]";10721;257464
"scala.collection.immutable.Range";10718;428720
"com.siigna.app.model.shape.PolylineShape$PolylineShapeOpen$$anonfun$shapes$2";10703;256872
"com.siigna.util.geom.CollectionGeometry2D";10401;249624
"com.siigna.util.geom.CollectionGeometry2D$$anonfun$1";10400;166400
"com.siigna.app.model.shape.CollectionShape$$anonfun$geometry$1";10400;166400
"com.siigna.util.geom.CollectionGeometry2D$$anonfun$boundary$2";10197;163152
"com.siigna.util.geom.CollectionGeometry2D$$anonfun$boundary$1";10197;163152
"short[ ]";8025;530104
"scala.Tuple2";7576;181824
"scala.Some";6234;99744
"java.lang.Object";5605;89680
"byte[ ]";5026;9441632
"java.util.concurrent.ConcurrentHashMap$HashEntry";4512;144384
"java.awt.geom.Point2D$Double";4505;144160
"java.util.HashMap$Entry";4225;135200
"java.lang.Class";3808;3752512
"java.util.HashMap$Entry[ ]";3328;279040
"java.awt.geom.Rectangle2D$Float";3283;105056
"java.lang.StringBuilder";2655;63720
"java.util.HashMap";2564;123072
"java.awt.geom.Point2D$Float";2553;61272
"java.util.HashMap$Values";2477;39632
"scala.collection.mutable.StringBuilder";2457;39312
"java.util.NoSuchElementException";2455;78560
"java.util.LinkedHashMap$Entry";2278;91120
"com.jprofiler.agent.util.a.i";1952;31232
"java.util.Hashtable$Entry";1768;56576
"java.awt.geom.AffineTransform";1760;126720
"java.lang.Double";1575;37800
"sun.font.DelegatingShape";1212;19392
"com.siigna.util.collection.AttributesLike$$anonfun$boolean$1";1127;18032
"com.siigna.util.collection.AttributesLike$$anonfun$color$1";1056;16896
"java.lang.Integer";933;14928
"float[ ]";913;43160
"com.jprofiler.agent.util.a.d";894;28608
"java.lang.ref.SoftReference";876;35040
"com.siigna.util.geom.TransformationMatrix";865;13840
"com.siigna.util.collection.AttributesLike$$anonfun$double$1";856;13696
"com.siigna.app.model.shape.PolylineLineShape";825;13200
"java.util.LinkedHashMap";758;42448
"com.siigna.util.collection.AttributesLike$$anonfun$transformationMatrix$1";725;11600
"com.siigna.app.view.Graphics$$anonfun$2";725;11600
"com.siigna.app.view.Graphics$$anonfun$3";725;11600
"com.siigna.app.model.shape.PolylineShape$PolylineShapeOpen";711;17064
"java.lang.String[ ]";683;22640
"sun.font.FontStrikeDesc";658;26320
"com.siigna.app.model.shape.PolylineShape$$anonfun$transform$1";623;9968
"sun.font.FontLineMetrics";607;14568
"sun.font.TextLineComponent[ ]";579;20072
"java.util.concurrent.ConcurrentHashMap$HashEntry[ ]";565;54384
"java.util.concurrent.locks.ReentrantLock$NonfairSync";546;17472
"java.util.HashMap$EntrySet";544;8704
"java.util.Vector";532;17024
"java.lang.ref.WeakReference";530;16960
"java.util.Hashtable$Entry[ ]";504;37464
"java.util.Hashtable";494;23712
"java.util.concurrent.ConcurrentHashMap$Segment";493;19720
"java.lang.reflect.Method";484;38720
"scala.concurrent.forkjoin.ForkJoinPool$WaitQueueNode";481;15392
"com.jprofiler.agent.triggers.nanoxml.XMLElement";442;21216
"java.lang.ref.Finalizer";438;17520
"java.lang.reflect.Field";427;30744
"java.lang.Class[ ]";415;7512
"java.awt.BasicStroke";410;16400
"java.lang.Float";408;6528
"java.lang.Short";405;6480
"scala.collection.immutable.Map$Map1";393;9432
"com.siigna.app.view.Graphics$$anonfun$draw$4";390;6240
"com.siigna.app.view.Graphics$$anonfun$draw$3";390;6240
"sun.reflect.annotation.AnnotationInvocationHandler";377;9048
"$Proxy3";369;5904
"scala.collection.mutable.DefaultEntry";362;8688
"java.util.WeakHashMap$Entry";358;14320
"com.siigna.app.view.Graphics$$anonfun$draw$7";317;7608
"scala.collection.immutable.Map$Map2";307;9824
"scala.Tuple2[ ]";302;9624
"scala.collection.mutable.HashTable$$anon$1";300;7200
"scala.collection.immutable.Map$Map3";298;11920
"scala.collection.immutable.Map$Map4";298;14304
"scala.collection.immutable.HashMap";297;4752
"scala.collection.mutable.HashMap$$anonfun$foreach$1";297;4752
"scala.collection.generic.GenMapFactory$MapCanBuildFrom";297;4752
"java.lang.Long";274;6576
"com.siigna.util.geom.TransformationMatrix$$anonfun$scale$1";265;6360
"com.siigna.util.geom.TransformationMatrix$$anonfun$translate$1";265;4240
"java.util.ArrayList";260;6240
"com.siigna.util.event.ModifierKeys";248;3968
"scala.collection.immutable.Iterable[ ][ ]";239;9560
"scala.Symbol";229;3664
"java.awt.font.FontRenderContext";227;7264
"java.awt.Font";224;16128
"sun.font.AttributeValues";222;21312
"sun.font.CoreMetrics";221;14144
"sun.font.GlyphLayout$SDCache$SDKey";218;5232
"scala.actors.MQueueElement";214;5136
"java.lang.reflect.Constructor";204;14688
"java.util.zip.ZStreamRef";202;4848
"com.siigna.util.geom.CollectionGeometry2D$$anonfun$distanceTo$1";202;3232
"com.siigna.util.geom.CollectionGeometry2D$$anonfun$distanceTo$2";202;3232
"java.util.zip.Inflater";202;6464
"sun.java2d.loops.Blit";199;9552
"scala.collection.immutable.HashMap$HashTrieMap$$anon$1";197;7880
"sun.font.StandardGlyphVector$GlyphStrike";196;6272
"sun.font.StandardGlyphVector";196;15680
"sun.font.ExtendedTextSourceLabel";193;10808
"java.awt.font.TextLayout";193;10808
"com.siigna.app.model.shape.TextShape$$anonfun$fontSize$1";193;3088
"sun.font.TextLabelFactory";193;7720
"java.awt.font.TextLine$TextLineMetrics";193;6176
"sun.font.StandardTextSource";193;10808
"sun.font.AttributeMap";193;6176
"java.awt.font.TextLine";193;13896
"javax.management.ImmutableDescriptor";189;4536
"java.awt.Shape[ ]";186;7920
"sun.java2d.loops.ScaledBlit";163;7824
"com.siigna.util.geom.Circle2D";156;6240
"java.lang.ref.PhantomReference";154;4928
"scala.collection.immutable.Stream$$anonfun$iterate$1";152;3648
"com.siigna.app.model.action.CreateShape";152;3648
"scala.collection.immutable.Stream$Cons";152;3648
"sun.java2d.DefaultDisposerRecord";146;4672
"scala.runtime.ObjectRef";143;2288
"java.io.ObjectStreamField";140;5600
"com.siigna.app.model.shape.ArcShape";139;6672
"com.siigna.util.geom.Arc2D";139;15568
"com.sun.jmx.mbeanserver.MXBeanMapping[ ]";135;2536
"double[ ]";135;6256
"java.util.TreeMap$Entry";134;5360
"com.sun.jmx.mbeanserver.ConvertingMethod";128;4096
"java.lang.Character";128;2048
"scala.concurrent.forkjoin.LinkedTransferQueue$QNode";126;4032
"scala.actors.Reactor$$anonfun$seq$1";125;3000
"scala.actors.Combinators$$anonfun$loop$1";125;3000
